name,url,note
大分大学大学院 工学研究科 博士後期課程 工学専攻 環境工学コース,,
TikChoco,https://github.com/tik-choco,
xReality・知的解析研究室,https://csiski2lab.github.io/#/ja,
情報処理学会,https://www.ipsj.or.jp/,
マルチメディア通信と分散処理研究会,https://ipsjdps.org/,
ゲーム開発集会,https://github.com/metaverse-gdm,

