category,authors,title,venue,year,note,url
International Conference,"Y. Tanaka, et al","MistNet: A Decentralized Network Library for Sustainable Metaverse Infrastructure","International Conference on Consumer Electronics-Taiwan (ICCE-Taiwan)",2024,"Poster, Peer-reviewed",https://doi.org/10.1109/ICCE-Taiwan62264.2024.10674530
International Conference,"Y. Tanaka, et al","Scalable Interconnection between Distributed Metaverse and Physical World","International Conference on Consumer Electronics-Taiwan (ICCE-Taiwan)",2023,"Oral, Peer-reviewed",https://doi.org/10.1109/ICCE-Taiwan58799.2023.10226934
Domestic Conference,"田中勇気, et al",分散型メタバースにおけるピュア型P2Pでの効率化座標同期アリゴリズムの実装と検証,電気・情報関係学会九州支部連合大会,2023,"Oral, Non peer-reviewed",https://www.jstage.jst.go.jp/article/jceeek/2023/0/2023_54/_pdf/-char/ja
Domestic Conference,"田中勇気, et al",分散型メタバースのためのユーザー座標に基づいたピュア型P2Pの接続最適化,バーチャル学会,2022,"Poster, Non peer-reviewed",https://www.jstage.jst.go.jp/article/vconf/2022/0/2022_101/_pdf/-char/ja

